('1203045', '艾热 AIR')
('30116848', '阿冗')
('29235210', 'Aioz')
('12174057', '艾辰')
('31093891', '阿虾')
('33164701', '阿禹ayy')
('12198387', '艾志恒Asen')
('1198010', '暗杠')
('30709773', 'Abdulla Abdurehim 阿不都拉')
('12127564', '艾福杰尼')
('1876', '阿杜')
('1087200', 'AThree')
('12288442', 'AnsrJ')
('27729325', 'AnimeVibe')
('12259037', 'AniFace')
('12133059', '哀四杏（S.SIN）')
('34821168', 'AREZ')
('12367021', 'AlimjanHasan')
('12461889', '安朕宇')
('33347494', '阿彻')
('12002184', 'AR刘夫阳')
('31559518', 'Alaric的窗台')
('12200490', '阿云嘎')
('1158046', 'A-Mac')
('12481743', 'Aech洪文豪')
('33914952', 'Arkin-Kiram')
('28387245', '安筱冷')
('1012032', '艾岩')
('28638705', '阿斯巴田ASPT')
('1881', '阿木')
('1132222', 'Abduwali Tohti')
('31093298', "阿'Quan")
('30379539', 'ALisa')
('46360428', 'Alexandra')
('37092361', 'Aini')
('34373745', 'Adiljan Zaynidin')
('12079186', 'Al Rocco')
('46441717', 'Alston')
('51177007', 'Azap')
('12967573', '艾菊KonA.')
('27725293', 'Alfar-MutalliP')
('187295', 'Assen捷')
('12020017', '阿克江Akin')
('2422', '阿鲲')
('1877', '阿牛')
('727015', '何官锭AL')
('34001567', 'ASM')
('32251287', '阿光')
('13012223', 'ANY安伟')
('12025486', 'Ablajan Awut Ayup')
('12537035', '仁辰')
('34497720', 'AnwarTurak')
('1875', '阿信')
('50787333', 'Aloha_BZ')
('36617333', 'Arkin abdureyim')
('36404838', 'Ade')
('12626202', 'ABbbb君')
('48568460', '安德')
('802016', '安来宁')
('33842931', 'AD钙')
('36519554', 'AA')
('12663935', 'ACThree333')
('33527804', 'ali habar艾力')
('34335898', '安大仙')
('50189584', '爱唱歌的小刘')
('51609786', '錒坤')
('50150161', 'A叉烧DJ')
('33909395', 'anwar hakim')
('29392509', 'AEolus阿一')
('12157281', '阿祥')
('1879', '安琥')
('27726953', '爱喝柠檬茶的喵')
('30116428', '艾克斯Dragon')
('28069412', 'Abdusami Arkin')
('51486534', 'Abduzayir_official')
('964311', '阿良良木健')
('1196052', '俺酱')
('13112634', 'AhmatjanEli')
('1058073', 'Alimjan Tohti')
('12287118', 'Ayo97')
('1888', '阿穆隆')
('51848019', '阿沣')
('36695635', 'ABLIKIM')
('860734', '艾索')
('34335285', 'AkbarDani')
('53161814', '阿乐')
('28632355', 'AsatKurban艾赛提库尔班')
('12038158', 'Abdugini Ablikim')
('12259217', 'allenvee')
('12056022', '阿睿凌霓剑裳')
('34512445', 'AMax')
('1158079', 'Abdusalam Akbar')
('46356380', '阿超')
('48045511', 'APMOZART')
('35080757', 'Abdusalam')
('51449727', '安先生Remix')
('12139022', '艾瑞欧ERIOE')
('12496722', 'ABDURAHMAN')
('37191208', 'Abdulla Music')
('50336714', '爱听歌的先生')
('12138038', 'BT07')
('12493701', '布瑞吉Bridge')
('31876221', '柏松')
('30109388', '贝乐虎')
('32645255', '暴躁的兔子')
('12227290', 'BigYear大年')
('12464053', '巴音汗')
('36290882', 'Bater official')
('12059049', 'Bohan Phoenix')
('13791519', 'bbbluelee')
('12084497', '宝石Gem')
('2066', '伯爵Johnny')
('12356407', '白小白')
('34633032', '半吨兄弟')
('1047238', '白挺')
('32675488', '拜德盖Viigho')
('31229236', '不够')
('31962859', '不知名选手Au')
('37005737', '巴鲁斯')
('46818709', '爱唱歌的男孩')
('33576363', 'B.T.M')
('33322228', 'BOY')
('909029', '白举纲')
('37553787', 'B2$')
('12373037', 'Babystop_山竹')
('50424727', 'bins')
('12056024', 'Birck')
('31310265', 'BlackC')
('12094558', 'Buzzy')
('12523451', 'BrAnTB白景屹')
('37704232', '陈渝')
('28415531', '不成风')
('14016562', 'Bahtiyar-Tayir')
('14807229', '八口8uck')
('12999040', 'BigM大明')
('31094049', '布朗尼')
('30955739', '白玉扎西')
('51289644', '白米饭')
('1085053', '变奏的梦想')
('13058488', '卜凡')
('30132672', 'BigBird大鳥')
('32438711', '冰冷端')
('31915294', 'BlackDD')
('13006186', '巴邓顿珠')
('31008744', '白鸿')
('52049163', 'BnZeE')
('12057030', 'Big Daddy')
('12041068', '白敬亭')
('52266942', '快手最火歌曲')
('32617538', 'Betray')
('48277407', 'BOBBYNOPEACE')
('47062212', 'Bertram')
('34577457', 'Bandage_RADI8')
('13058487', '毕雯珺')
('33069166', '不二宸')
('34199516', 'BaoUner')
('34559500', '北斗小七')
('34645576', '饼饼BingBing')
('30001054', 'Badago')
('46953622', '柏奈')
('36181457', 'BOND-邦')
('13907045', 'brokeboiishawty')
('12303072', '辫子余')
('37189491', 'Bilal-Uxxuk')
('12204289', '白宏哲')
('51297934', '百酷哪吒')
('46748776', '泊尔')
('12085017', 'BLOWFEVER')
('31881551', '毕然')
('34280560', '不称职歌手')
('12284195', '爆音BOOM')
('37624004', '北玄.')
('12459820', '巴金旺甲')
('12275235', '白止')
('12357533', '冰幽')
('46495758', '不如诗啊')
('33702350', 'Bilal-上海')
('32891684', '白一阳')
('33871442', '拜非凡')
('50000799', '白沢')
('1084207', '白亮')
('30405247', '半阳')
('12091076', '白宇')
('1048054', 'Braska')
('12020026', '柏凝')
('13609662', 'BabyWay')
('48215920', '北方老叔')
('13608639', '毕琛')
('37265858', '白子航')
('50562222', '巴黎街名媛')
('12328214', '博一')
('51930184', '悖论')
('34231062', '北沫')
('12599289', '暴君de')
('12664246', '百川Rebellious')
('816079', '薄彩生')
('35302457', 'BLL')
('52432379', '北辰_Zxl')
('33997464', '呱呱华')
('12259146', 'Black.Key')
('2116', '陈奕迅')
('12193174', 'Capper')
('12932368', '蔡徐坤')
('2112', '陈小春')
('963431', '陈致逸')
('28083351', 'CORSAK胡梦周')
('12157336', 'CMJ')
('34172520', 'C.HØPE')
('1159101', 'c0de731')
('32550470', '曹雨航')
('2127', '陈柏宇')
('12700520', 'CJ 周密')
('12286056', '褚晨茜')
('1058228', '陈鸿宇')
('29234568', '陈亦洺')
('2124', '陈楚生')
('30437389', 'Chanlex')
('12185665', 'C.vo')
('28602303', '陈阳')
('2115', '陈百强')
('2110', '曹格')
('12174110', '崔开潮')
('34489282', '迟里乌布')
('33937972', 'CashTrippy')
('12519065', '程安')
('14608268', 'Corki刘宗鑫')
('2122', '陈冠希')
('35188030', '辰啊辰')
('12131566', 'CLOUDWANG 王云')
('32973587', '陈大本事')
('12147170', '澄海伯伯')
('33191836', 'cv初恋')
('189955', '蔡翊昇')
('12276430', 'Cubi')
